business_id,name,address,city,state,type,statut,date_statut,latitude,longitude,x,y
8413,"LA PATATE DU PEUPLE (PEOPLE'S POTATO CONCORDIA)","1455  H700 Boulevard De Maisonneuve Ouest","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20090305,45.497336,-73.578176,298690.25,5039715.62
2009,"SERVICE MYRIAM DE LA MISERICORDE INC.","215   Rue De Castelnau Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20060503,45.537354,-73.618367,295555.73,5044166.7
267,"INFORMATION ALIMENTAIRE POP. CENTRE SUD","1710  1-14 Rue Beaudry ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20140903,45.520406,-73.559293,300167.91,5042278.05
6941,"CUISINE COLLECTIVE A TOUTE VAPEUR (DIST)","13765   Rue Forsyth ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191029,45.665702,-73.503992,304488.91,5058423.5
554,"LES MISSIONNAIRES DE LA CHARITE INC.","2467   Rue Champagne ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19930128,45.5295,-73.54709,301121.81,5043288.13
7181,"LUNCH CLUB#51/NATIVE FRIENDSHIP CENTRE","2001   Boulevard Saint-Laurent ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20040511,45.511325,-73.566909,299572.13,5041269.4
5789,"ACTION REINSERTION","110   Rue Sainte-Catherine Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20031010,45.511117,-73.562731,299898.51,5041246.04
62351,"POPOTE ROULANTE DU VIEUX MOULIN (CENTRE CULTUREL HENRI-LEMIEUX)","7644   Rue Édouard ","LaSalle","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19930517,45.430952,-73.594462,297408.75,5032339.76
6887,"SERVICE DE NUTRITION ET D'ACTION COMMUNAUTAIRE (SNAC)","10780   Rue Laverdure ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20040413,45.552632,-73.671892,291379.09,5045872.05
11516,"CENTRE DE DESINTOXICATION TOXICO-STOP","4858   Boulevard Gouin Est","Montréal-Nord","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20100531,45.605687,-73.63882,293971.53,5051763.16
17014,"ACCUEIL BONNEAU","427   Rue Commune Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19930607,45.509849,-73.550664,300841.27,5041104.46
13960,"CENTRE D'ORIENTATION ET PREVENTION D'ALCOOLISME TOXICOMANIELATINOS AMERICAINS","660   Rue Villeray ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19990407,45.543491,-73.62165,295300.32,5044849.02
13617,"CENTRE DE JOUR OMEGA","600   Avenue Église ","Dorval","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19981022,45.442497,-73.735453,286380.58,5033645.35
139,"RESEAU BENEVOLE DE VERDUN","3215   Boulevard LaSalle ","Verdun","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20040810,45.471362,-73.568878,299414.42,5036828.4
15632,"MISSION DU GRAND BERGER","2510   Rue Centre ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20001122,45.479017,-73.568451,299448.58,5037679.06
14722,"ACTION SECOURS VIE D'ESPOIR","35   Avenue Marien ","Montréal-Est","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19991110,45.63271,-73.497426,305000.67,5054756.95
66898,"BOUFFE ACTION DE ROSEMONT","5350   Rue Lafond ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20080917,45.552591,-73.571677,299203.68,5045855.59
10649,"MISSION ST-MICHEL","137   Avenue Président-Kennedy ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19970217,45.509854,-73.567487,299526.78,5041105.98
3429,"SERVICE INTERPRETE AIDE REFERENCE AUX IMMIGRANTS (SIARI)","6767  499 Chemin Côte-des-Neiges ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20091008,45.503028,-73.637026,294091.94,5040354.3
15376,"CENTRE DES FEMMES DE MONTREAL","3585   Rue Saint-Urbain ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20000831,45.51246,-73.573136,299085.66,5041395.93
9019,"SERVICE D'AIDE COMMUNAUTAIRE ANJOU (SAC ANJOU)","6497   Avenue Azilda ","Anjou","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20181023,45.609669,-73.545795,301228.07,5052197.35
7563,"MAISON DES JEUNES BORDEAUX CARTIERVILLE","12120   Rue Grenet ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20060303,45.530603,-73.717627,287801.62,5043432.58
1718,"SESAME INC. (CUISINE COLLECTIVE)","8628   Rue Hochelaga ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20150204,45.60057,-73.520379,303210.2,5051185.4
4673,"LA PORTE JAUNE","3625   Rue Aylmer ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20090202,45.508639,-73.578014,298704.11,5040971.63
10251,"MAISON DE QUARTIER VILLERAY","660   Rue Villeray ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19960925,45.543491,-73.62165,295300.32,5044849.02
9094,"L'ORG. DES JEUNES DE PARC EXTENSION INC. (PEYO)","419  SS-06 Rue Saint-Roch ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19951214,45.531247,-73.628424,294769.17,5043489.13
9465,"CARREFOUR D'ENTRAIDE LACHINE","1180   Rue Provost ","Lachine","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19960508,45.441964,-73.674645,291137.47,5033574
8806,"MAISON NAZARETH","1197   Avenue Seymour ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19950929,45.490269,-73.580411,298514.79,5038930.42
100469,"CARREFOUR SAINT-EUSEBE DE MONTREAL (POPOTTE ROULANTE)","2349   Rue Rouen ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20111101,45.532633,-73.558111,300261.23,5043636.84
100627,"FOURCHETTE DE L'ESPOIR","12165   Boulevard Rolland ","Montréal-Nord","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20111021,45.617245,-73.621473,295326.57,5053045.46
103023,"DINERS ST-LOUIS","1818   Rue Gilford ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20120207,45.534585,-73.577972,298710.21,5043855.06
102943,"AFRIQUE AU FEMININ","7000  106-107 Avenue Parc ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20120216,45.52969,-73.61984,295439.43,5043315.07
103972,"ON ROCK COMMUNITY SERVICE","9554   Boulevard Gouin Ouest","Pierrefonds","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20120716,45.5041,-73.779982,282920.9,5040502.47
103471,"LA FONDATION DU REFUGE POUR FEMMES CHEZ DORIS INC.","1430   Rue Chomedey ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20120530,45.491391,-73.583401,298281.16,5039055.27
104445,"CORPORATION CULTURELLE LATINO-AMERICAINE AMITIE COCLA","1357   Rue Saint-Louis ","St-Laurent","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20181116,45.50938,-73.671068,291433.25,5041065.33
13251,"CANTINE DES OEUVRES ST JACQUES","430 A  Rue Sainte-Catherine Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19980818,45.514557,-73.55976,300130.92,5041628.12
105885,"CAFETERIA MOISSON MONTREAL","6880   Chemin Côte-de-Liesse ","St-Laurent","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20130409,45.482153,-73.696046,289474.11,5038043.99
103248,"DISTRIBUTION PAVILLON HEBERT","7505   Boulevard Provencher ","St-Léonard","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20121018,45.571841,-73.592666,297567.34,5047996.64
105425,"MAISON DES AMIS PLATEAU MONT-ROYAL","1370   Boulevard Saint-Joseph Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20130411,45.533058,-73.58144,298439.14,5043685.64
4556,"ACTION CENTRE-VILLE MONTREAL","105   Rue Ontario Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20030502,45.512317,-73.566423,299610.19,5041379.65
7732,"TOUJOURS ENSEMBLE","4926   Rue Verdun ","Verdun","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19950306,45.456595,-73.571915,299175.53,5035187.59
111726,"LE GROUPE COMMUNAUTAIRE L'ITINERAIRE / CAFE DE LA MAISON RONDE","2330   Rue Sainte-Catherine Ouest","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20230327,45.48943,-73.584364,298205.66,5038837.51
402,"POPOTE ROULANTE CARREFOUR DES RETRAITES DE MTL-NORD INC.","11323   Avenue Jean-Meunier ","Montréal-Nord","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19930121,45.604503,-73.622621,295234.92,5051629.53
100618,"SANTROPOL ROULANT","111   Rue Roy Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20110303,45.516367,-73.575067,298935.21,5041830.26
7214,"ENTRAIDE LEO THEORET (PRESBYTERE)","2000 B  Rue Alexandre-DeSève ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19941219,45.524377,-73.560567,300068.73,5042719.43
114002,"PARTAGEONS L'ESPOIR (QUEBEC)","625   Rue Fortune ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20170317,45.47794,-73.559184,300172.92,5037558.87
111314,"SERVICE DES LOISIRS ST-JACQUES DE MONTREAL","200   Rue Ontario Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190909,45.513611,-73.565999,299643.44,5041523.37
112230,"C.A.D.R.E. (ECHANGES DE SERVICES DE LASALLE)","7491   Rue Cordner ","LaSalle","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190604,45.443359,-73.627458,294829.17,5033722
14481,"ATELIERS EDUCATION POPULAIRE DU PLATEAU","4273   Rue Drolet ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20231206,45.521798,-73.579964,298553.23,5042434.14
117077,"DEPOT ALIMENTAIRE NDG","6450   Avenue Somerled ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20180323,45.468411,-73.6378,294024.87,5036507.41
14864,"CUISINE COLLECTIVE HOCHELAGA-MAISONNEUVE","3568   Rue Adam ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20000114,45.543767,-73.540985,301599.46,5044873.3
8728,"LES PETITS FRERES DES PAUVRES","4624   Rue Garnier ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20220516,45.531682,-73.578293,298684.83,5043532.49
115605,"CENTRE ACTION","2214   Rue Dollard ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20170524,NA,NA,NA,NA
116286,"CENTRE COMMUNAUTAIRE TYNDALE ST-GEORGES","870   Place Richmond ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20170825,45.491441,-73.573113,299085.32,5039060.04
468,"MAISON D'ENTRAIDE ST-PAUL ET EMARD","5999   Rue Drake ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20101027,45.457739,-73.582179,298372.86,5035315.47
114428,"MAISON DE L'ANCRE","7930   Boulevard Pie-IX ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20161101,45.570642,-73.600955,296920.23,5047864.14
116899,"CENTRE DE JOUR DE ST-JAMES","1442   Rue Panet ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20171207,45.520279,-73.555569,300458.79,5042263.75
117105,"LE RAMEAU D'OLIVIER","6547   Rue Marseille ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20181017,45.580764,-73.539717,301700.57,5048984.79
120651,"AIDES COMMUNITY CARE MONTREAL (ACCM)","3650   Avenue Calixa-Lavallée ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191023,45.525362,-73.56656,299600.63,5042829.3
3293,"CARREFOUR D'ALIMENTATION ET DE PARTAGE ST-BARNABE","1475   Avenue Bennett ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19930127,45.553563,-73.533975,302147.34,5045961.77
119987,"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS","7802   Avenue Mountain Sights ","Montréal","Québec, Canada","Organisme d'aide alimentaire","En traitement",20190603,45.49799,-73.654921,292692.44,5039796.96
12510,"ASSOCIATION D'ENTRAIDE LE CHAINON","4373   Avenue Esplanade ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19900601,45.517562,-73.586174,298067.54,5041963.97
120023,"UNION UNITED CHURCH","3007   Rue Delisle ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191126,45.482326,-73.578899,298632.07,5038047.59
120025,"STATION FAMILLES","2385   Rue Jolicoeur ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190806,45.456927,-73.595328,297344.38,5035226.33
120026,"SPECTRE DE RUE","1280   Rue Ontario Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190619,45.521927,-73.561897,299964.63,5042447.25
120835,"ASSOCIATION DU TROISIEME AGE FILIA","821   Avenue Ogilvy ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200117,45.526775,-73.62661,294910.05,5042992.02
120929,"CENTRE D'AIDE A LA FAMILLE","1225  303 Boulevard Saint-Joseph Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200619,45.531217,-73.583352,298289.62,5043481.16
121232,"CARREFOUR ALIMENTAIRE CENTRE-SUD / CUISINE DES TOURS FRONTENAC","1855   Rue Havre ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200228,45.53254,-73.549708,300917.58,5043626.03
121012,"SANTE ET MIEUX-ETRE DES HOMMES GAIS ET BISEXUELS (REZO)","2075  207 Rue Plessis ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191209,45.524154,-73.562128,299946.76,5042694.82
121014,"MISSION CATHOLIQUE SAINTE-THERESE D'AVILA","1420   Rue Bélanger ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191211,45.544274,-73.605428,296567.22,5044934.31
121019,"LA SOURCE MILIEU EDUCATIF","75   Rue Square-Sir-George-Étienne-Cartier ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200909,45.472564,-73.583717,298254.3,5036963.15
121021,"PIAMP PROJECT INTERVENTION","435   Rue Beaubien Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191210,45.534682,-73.604398,296646.3,5043868.19
121022,"DISPENSAIRE DIETETIQUE DE MONTREAL","2182   Avenue Lincoln ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200708,45.491614,-73.585643,298105.98,5039080.24
121023,"PROJET LOVE (QUEBEC)","400  300 Rue Saint-Jacques ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191210,45.501984,-73.55983,300124.45,5040230.93
121024,"PROJETS AUTOCHTONES DU QUEBEC","169   Rue De La Gauchetière Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200727,45.509854,-73.558702,300213.2,5041105.38
121025,"RAP JEUNESSE","10780   Rue Laverdure ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200825,45.552632,-73.671892,291379.09,5045872.05
121027,"RELAIS COTE-DES-NEIGES","6600   Avenue Victoria ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200804,45.496116,-73.641552,293736.93,5039586.79
121031,"CENTRE DE PEDIATRIE SOCIALE DE MONTREAL-NORD","6336  1 Avenue Chartrand ","Montréal-Nord","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20210611,45.623392,-73.625143,295041.44,5053729.03
121032,"CENTRE DE PEDIATRIE SOCIALE DE ST-LAURENT - AU COEUR DE L'ENFANCE","1159   Avenue Sainte-Croix ","St-Laurent","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200709,45.517519,-73.681967,290583.61,5041971.67
107047,"LE PAS DE LA RUE","1575   Boulevard René-Lévesque Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20131016,45.520455,-73.550811,300830.55,5042283.14
121009,"OEUVRE SOUPE MAISON (LACHINE)","1170   Rue Notre-Dame ","Lachine","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200930,45.43494,-73.674251,291166.55,5032793.36
121051,"CENTRE MULTICULTUREL L'AMOUR","5100   Avenue Château-Pierrefonds ","Pierrefonds","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20201021,45.464536,-73.896273,273811.73,5036143.9
121053,"CHABAD CHAI CENTER","5120  170 Avenue Courtrai ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200810,45.494924,-73.647828,293246.16,5039455.2
121054,"CHAPELLE BONNE NOUVELLE","5845   Boulevard Couture ","St-Léonard","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191216,45.597465,-73.608174,296360.77,5050845.8
121056,"ECOLE FELIX-ANTOINE","10730   Rue Chambord ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200206,45.561849,-73.664948,291923.4,5046895.26
121057,"ECOLE PIERRE-DUPUY","2000   Rue Parthenais ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191216,45.529519,-73.556265,300405.19,5043290.69
121058,"ECOLE SECONDAIRE SAINT-LAURENT (EDIFICE EMILE-LEGAULT)","2395   Boulevard Thimens ","St-Laurent","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20201211,45.505834,-73.701998,289015.46,5040676.83
121071,"REPIT PROVIDENCE","1855   Rue Dézéry ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20201027,45.540976,-73.547196,301114.3,5044563.4
121097,"RENAISSANCE MONTREAL","7250   Boulevard Saint-Laurent ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200724,45.535021,-73.619138,295495.14,5043907.46
119980,"EGLISE ADVENTISTE MONT SINAI","9570   Boulevard Maurice-Duplessis ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200129,45.649925,-73.562982,299891.04,5056672.08
119991,"AUTISME MONTREAL","4450   Rue Saint-Hubert ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190918,45.525511,-73.580955,298476.17,5042846.91
119994,"AUBERGE DU COEUR LE TOURNANT (SOSFA)","1775   Rue Wolfe ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190709,45.519812,-73.560777,300051.89,5042212.21
120052,"CENTRE ALEXANDRE-DE-SEVE (RUELLE DE L'AVENIR)","2040   Rue Alexandre-DeSève ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191121,45.524926,-73.561751,299976.27,5042780.54
120081,"CORPORATION FELIX-HUBERT D'HERELLE","3742   Rue Saint-Hubert ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191015,45.520681,-73.570315,299306.9,5042309.39
120090,"LA MAISON BENOIT LABRE","4561   Rue Notre-Dame Ouest","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200115,45.473792,-73.587812,297934.31,5037099.89
120091,"WOMEN ON THE RISE","6897   Avenue Somerled ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20230216,45.463887,-73.641353,293746.14,5036005.19
118940,"CORBEILLE PAIN LSL (EGLISE SAINT-GEORGES)","23   Rue Perrault ","Ste-Anne-de-Bellevue","Québec, Canada","Organisme d'aide alimentaire","En traitement",20181210,45.404722,-73.94653,269844.8,5029517.51
119985,"CARREFOUR JEUNESSE-EMPLOI DE MARQUETTE","735   Rue Notre-Dame ","Lachine","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190806,45.4349,-73.670313,291474.69,5032788.18
120102,"GROUPE ENTRAIDE INTENTION PERSONNES SEULES ITINERENTES (GEIPSI)","1223   Rue Ontario Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190924,45.521489,-73.562155,299944.42,5042398.62
10311,"MAISON DU PARC INC.","1287   Rue Rachel Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",19961015,45.527402,-73.572504,299136.52,5043056.38
119975,"CENTRE ACTION BENEVOLE ET COMMUNAUTAIRE ST-LAURENT","910   Avenue Sainte-Croix ","St-Laurent","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191018,45.515088,-73.678127,290883.02,5041700.83
119977,"CENTRE COMMUNAUTAIRE LA PATIENCE","9227   Boulevard Saint-Michel ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191126,45.573236,-73.63086,294586.49,5048155.78
120092,"LA BICOQUE - MAISON DES JEUNES DE LASALLE","170   Avenue Orchard ","LaSalle","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200213,45.423072,-73.647364,293267.79,5031470.29
114713,"COMPAGNONS DE MONTREAL","6365   Rue De Saint-Vallier ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20161215,45.534358,-73.60345,296720.29,5043832.04
119799,"UN ELAN POUR LA VIE","6055   Rue Hochelaga ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190502,45.573864,-73.53539,302037.85,5048217.89
119927,"ASSOCIATION JAMAICAINE DE MONTREAL","4065   Rue Jean-Talon Ouest","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200131,45.501432,-73.645709,293413.08,5040178.14
120086,"MOUVEMENT FRATERNITE MULTI-ETHNIQUE","5967  307 Rue Jean-Talon Est","St-Léonard","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190617,45.586569,-73.579262,298615.17,5049632.2
120096,"MAISON DU PARTAGE D'YOUVILLE","2221   Rue Coleraine ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200117,45.47758,-73.561869,299963,5037519
120440,"SOS ITINERANCE","1487   Rue Aylwin ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20190819,45.543091,-73.541342,301571.56,5044798.19
124873,"PROJAIDE","7393   Avenue 18e ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20220531,45.565155,-73.596525,297265.26,5047253.88
120932,"CENTRE D'ENTRAIDE ET DE RALLIEMENT FAMILIAL LE C.E.R.F.","105  101 Rue Ontario Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191126,45.512317,-73.566423,299610.19,5041379.65
120956,"CENTRE D'ACTION SIDA MONTREAL (FEMMES) (CASM)","4480   Chemin Côte-de-Liesse ","Mont-Royal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20191206,45.504633,-73.66451,291944.53,5040536.74
122444,"LA TRIADE HCT (HANDICAP-COMPETENCES-TRAVAIL)","8593   Rue Centrale ","LaSalle","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20210730,45.417743,-73.618536,295522.9,5030874.26
121100,"SSVP RESURRECTION OF OUR LORD PARISH (SAINT VINCENT DE PAUL)","34   Avenue 34e ","Lachine","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200108,45.433363,-73.693934,289626.13,5032621.6
121041,"CENTRE DES JEUNES BOYCE-VIAU (CJBV)","2625  1 Rue Théodore ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200811,45.560737,-73.545389,301256.68,5046759.38
121132,"ASSOCIATION HAITIANO-CANADO-QUEBECOISE D'AIDE AUX DEMUNIS","4550   Rue Compiègne ","St-Léonard","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200113,45.57882,-73.604842,296617.99,5048773.35
121227,"FOYER DU LIBAN (EGLISE ORTHODOXE D'ANTIOCHE DE LA VIERGE MARIE)","120   Boulevard Gouin Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200911,45.552739,-73.673737,291235.12,5045884.32
121228,"GAP-VIES","3330   Rue Jarry Est","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200130,45.564765,-73.608675,296316.75,5047211.8
121278,"PAVILLON DE LA SAVANE","5111   Rue Paré ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200129,45.498387,-73.652564,292876.72,5039840.74
121597,"LA MAISON D'AURORE","4816   Rue Garnier ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200316,45.533053,-73.581247,298454.22,5043685.03
122008,"HIRONDELLE, SERVICES D'ACCUEIL ET D'INTEGRATION DES IMMIGRANTS","2349   Rue Rouen ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200619,45.532633,-73.558111,300261.23,5043636.84
120336,"PARRAINAGE CIVIQUE DE LA BANLIEUE OUEST DE MONTREAL","68   Avenue Prince-Edward ","Pointe-Claire","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200128,45.454414,-73.792171,281948.32,5034984.23
120337,"PREMIERE EGLISE EVANGELIQUE ARMENIENNE DE MONTREAL","11455   Rue Drouart ","Montréal","Québec, Canada","Organisme d'aide alimentaire","Ouvert",20200205,45.536406,-73.687543,290152.88,5044071.57
